name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Trippy Goat Cafe,9731655707,"
Indicube Symphony, Shankarnarayan Building, Mahatma Gandhi Rd, opposite East Parade Church, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560001",,None,"https://www.google.com/maps/place/Trippy+Goat+Cafe/@12.9374249,77.5455588,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae17b1e6a1b689:0xc331b088f27aa806!8m2!3d12.972712!4d77.614782!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11mxzm0l4l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
The Studio Cafe,7892512445,"
street, south end circle, 16-25, Pattalamma Temple Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560004",,None,"https://www.google.com/maps/place/The+Studio+Cafe/@12.9374249,77.5455588,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1597063f57c3:0x7b1841376837121e!8m2!3d12.9373509!4d77.5798405!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11tnl_rphx?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Makkah Cafe,7019579745,"
Shop No. 3, Johnson Market, Richmond Town, Bengaluru, Karnataka 560025",,None,"https://www.google.com/maps/place/Makkah+Cafe/@12.9373509,77.5077427,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae15d491671637:0x94a0a803f40221d1!8m2!3d12.9641713!4d77.6064519!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F1jglv3zf0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Burnout Cafe,8088682319,"
3rd & 4th Floor, 39/40, Lady Curzon Rd, off Infantry Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001",,"Social only: 
instagram.com","https://www.google.com/maps/place/Burnout+Cafe/@12.9749781,77.5274203,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1728de3a30dd:0x78563f1ff2af1df6!8m2!3d12.9796293!4d77.6037282!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11hzsvf7gr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Down The Alley,7406048982,"
12,29, main road, D'souza Nagar, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085",,"Social only: 
linktr.ee","https://www.google.com/maps/place/Cafe+Down+The+Alley/@12.9749781,77.5274203,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae3e4404879a5f:0x7f9e74113d6fcb12!8m2!3d12.9353145!4d77.5328977!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11ddyjyrpz?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Brahmins' Coffee Bar,9845030234,"
Pushp Kiran, 19, Ranga Rao Rd, near Shankar Mutt Road, Shankarapura, Bengaluru, Karnataka 560004",,None,"https://www.google.com/maps/place/Brahmins'+Coffee+Bar/@12.9353145,77.4607999,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae15f0a35b8ae3:0xc02176d1e45cb964!8m2!3d12.9539725!4d77.568847!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBF3NvdXRoX2luZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1tfk2wgm?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Hustle,9686855008,"
188/A, 22nd Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",,"Social only: 
zomato.com","https://www.google.com/maps/place/Cafe+Hustle/@12.9641713,77.5343541,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae157efeccdf7f:0xe5ecc3141394900a!8m2!3d12.9091244!4d77.6426002!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11hdy_xg07?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Top Ace Cafe,8147494747,"
2ND AND 3RD FLOOR, 74, Jyoti Nivas College Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095",,None,"https://www.google.com/maps/place/TOP+ACE+CAFE/@12.9636717,77.5683039,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae157c494d828b:0xca4b215943c35ba2!8m2!3d12.932693!4d77.6137107!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBFmNvbnRpbmVudGFsX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11jty3mc06?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Noir Indiranagar,9620007974,"
1st Floor, 3275, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008",,None,"https://www.google.com/maps/place/Cafe+Noir+Indiranagar/@12.9636717,77.5683039,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae178c9d3638dd:0xa2d48075ea7281e8!8m2!3d12.9700076!4d77.6362704!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11s2nswg0y?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,6366204909,"
5, Setlur St, Langford Town, Richmond Town, Bengaluru, Karnataka 560025",,None,"https://www.google.com/maps/place/The+Caf%C3%A9+at+Saanchi+-+Authentic+Persian+Cuisine+%26+Silk+Route+Aroma+-+Dining+Experience/@12.9717197,77.5222549,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae15d25a89187d:0x6771cf3e866849b9!8m2!3d12.958318!4d77.604375!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBCGFydF9jYWZl4AEA!16s%2Fg%2F11f1wvbm2w?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Board 4 Bored - A Board Game Cafe Bangalore,9606173535,"
3rd floor, Raghavendra Arcade, No 193, Jawaharlal Nehru Rd, near 4th stage, BEML Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098",,None,"https://www.google.com/maps/place/Board+4+Bored+-+A+Board+Game+Caf%C3%A9+Bangalore/@12.9668495,77.5647704,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae3fdaf1306e13:0xb48db5fb8f5597d5!8m2!3d12.9136505!4d77.5209028!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11vldnbr5n?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Iris Cafe Hsr,8041566935,"
17/J, 18th Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",,None,"https://www.google.com/maps/place/Iris+Cafe+HSR/@12.9791429,77.5685231,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1534137c8b89:0x2a94a4f81b0c43c7!8m2!3d12.9117913!4d77.6428146!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11qmw7yxw2?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Secret Spot Cafe,8971285555,"
387 71-4, 11th Main Rd, opposite to max showroom, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",,None,"https://www.google.com/maps/place/Secret+Spot+Cafe/@12.9791429,77.5685231,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1507683cd699:0x1d1e2cd6024fa435!8m2!3d12.931007!4d77.5859813!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11n5hlj5j_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Terra,8041631800,"
3161, 12th Main Rd, near ESI HOSPITAL, 2st Stage, Indiranagar, Domlur, Bengaluru, Karnataka 560038",,None,"https://www.google.com/maps/place/Cafe+Terra/@12.9973897,77.4761189,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae16a4b23f1909:0xef4ef285e4faf0ae!8m2!3d12.9697445!4d77.6358625!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBFGJyZWFrZmFzdF9yZXN0YXVyYW504AEA!16s%2Fg%2F11c57m38fp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Medley,8041160865,"
473, 17th C Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",,None,"https://www.google.com/maps/place/Cafe+Medley/@12.9697445,77.5637647,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae145aaee3e6cf:0x5fadb3a0a578b099!8m2!3d12.9339565!4d77.6196418!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11cjghxxs_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Bengaluru Cafe,8296199994,"
Hare Krishna Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001",,None,"https://www.google.com/maps/place/Bengaluru+Cafe/@13.008381,77.4826216,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae17b945d0e13b:0x7ab9607a1721d8f5!8m2!3d12.9871114!4d77.578464!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBF3NvdXRoX2luZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11kkkzdjg4?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Lazy Suzy,8073032246,"
36, 80 Feet Rd, Hal, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075",,None,"https://www.google.com/maps/place/Lazy+Suzy/@12.915412,77.5599958,13z/data=!3m1!5s0x3bae16a9f476da21:0x401cfc2c1de779c0!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae16aa02aab4df:0xf6dd54f77b385dd3!8m2!3d12.9708747!4d77.6475882!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBE2V1cm9wZWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11bxfz5trn?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
The Green Door Coffee House,9740393173,"
Second floor, 17/3, Church Rd, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027",,None,"https://www.google.com/maps/place/The+Green+Door+Coffee+House/@12.9405005,77.4993946,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae153b07cd3e4b:0xa48ab6359b36e65e!8m2!3d12.9572069!4d77.5943916!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11y5z827m7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Tea Lounge Cafe,8660458825,"
43, Castle Street, Richmond Town, 43, Castle St, Richmond Town, Ashok Nagar, Bengaluru, Karnataka 560025",,None,"https://www.google.com/maps/place/Tea+Lounge+cafe/@12.9717869,77.5240017,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae156da78c9659:0xd50498a386e3cd07!8m2!3d12.9670023!4d77.6090467!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11sfq6ql7q?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Arena,7411420121,"
1st Floor, Equitas Small Finance Bank, 88/B, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",,None,"https://www.google.com/maps/place/Cafe+Arena/@12.9124858,77.5723196,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae152dbf30c3c1:0xa60beb8324fe1a84!8m2!3d12.9220463!4d77.5935414!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11srzq_mmm?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Kapoors Cafe Jayanagar,9364151457,"
329, 10th A Main Rd, Jaya Nagar 1st Block, Jayanagar East, Jayanagar, Bengaluru, Karnataka 560011",,None,"https://www.google.com/maps/place/Kapoor%E2%80%99s+Cafe+Jayanagar/@12.9255928,77.5611745,13z/data=!3m1!5s0x3bae15a27f10f9ef:0xfb08fdbabce8721c!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1512cc28b88b:0xad57f3f443156649!8m2!3d12.9327425!4d77.585065!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBEnB1bmphYmlfcmVzdGF1cmFudOABAA!16s%2Fg%2F11fhn3s48l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Heartfull Cafe,9148448622,"
47 Shubh Enclave, Haralur Main Rd, Ambalipura, Bengaluru, Karnataka 560012",,None,"https://www.google.com/maps/place/Heartfull+Cafe/@12.8921728,77.5304145,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1398adcc3af3:0x154fc2dfb59ae071!8m2!3d12.9139927!4d77.6668139!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBGHZlZ2V0YXJpYW5fY2FmZV9hbmRfZGVsaeABAA!16s%2Fg%2F11t3gd86k7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Kullad Cafe,8861570148,"
1210, 16th Main Rd, MCHS Colony, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076",,None,"https://www.google.com/maps/place/Kullad+Cafe/@12.9126052,77.5378486,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae14fd237306d3:0xe25325242f416e83!8m2!3d12.9126052!4d77.6099464!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11cjnnn92n?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Cafe Down The Alley - Sky Sports,9480978703,"
temple bells, 38, adjacent to Prestige Bagamane, HV Halli, Jawaregowda Nagar, Javarandoddi, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098",,None,"https://www.google.com/maps/place/Cafe+Down+The+Alley+-+Sky+Sports/@12.9126052,77.5378486,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae3f3cb419e983:0xd952c3b721f7a271!8m2!3d12.9299152!4d77.5213644!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBCmNvbWljX2NhZmXgAQA!16s%2Fg%2F11txn7rz2j?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
Water Monkey Cafe,9916618120,"
RainTree, opp. ITC WINDSOR, Kumara Park East, Seshadripuram, Bengaluru, Karnataka 560053",,None,"https://www.google.com/maps/place/Water+Monkey+Cafe/@12.9945458,77.5123931,13z/data=!4m11!1m3!2m2!1scafe+in+bangalore!6e5!3m6!1s0x3bae1706a27ffe1f:0x8877a92fd7086e9f!8m2!3d12.9945458!4d77.5844909!15sChFjYWZlIGluIGJhbmdhbG9yZVoTIhFjYWZlIGluIGJhbmdhbG9yZZIBBGNhZmXgAQA!16s%2Fg%2F11p65p0151?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",bangalore,cafe,0
